bloco,rep,trat,emerg,tempo,censura
3,15,Bas,2,14,1
3,15,Bas,3,14,1
3,15,Bas,4,15,1
3,15,Bas,5,15,1
3,15,Bas,6,16,1
3,15,Bas,7,17,1
3,15,Bas,8,18,1
3,15,Bas,9,18,1
3,15,Bas,10,18,1
3,15,Bas,11,20,1
3,15,Bas,12,20,1
3,15,Bas,13,23,0
3,15,Bas,14,23,0
3,15,Bas,15,23,0
3,15,Bas,16,23,0
3,15,Bas,17,23,0
3,15,Bas,18,23,0
3,15,Bas,19,23,0
3,15,Bas,20,23,0
3,11,Pod,1,13,1
3,11,Pod,2,15,1
3,11,Pod,3,15,1
3,11,Pod,4,15,1
3,11,Pod,5,15,1
3,11,Pod,6,15,1
3,11,Pod,7,15,1
3,11,Pod,8,15,1
3,11,Pod,9,15,1
3,11,Pod,10,15,1
3,11,Pod,11,15,1
3,11,Pod,12,15,1
3,11,Pod,13,15,1
3,11,Pod,14,15,1
3,11,Pod,15,15,1
3,11,Pod,16,15,1
3,11,Pod,17,23,0
3,11,Pod,18,23,0
3,11,Pod,19,23,0
3,11,Pod,20,23,0
3,12,Pod,1,14,1
3,12,Pod,2,14,1
3,12,Pod,3,15,1
3,12,Pod,4,15,1
3,12,Pod,5,15,1
3,12,Pod,6,15,1
3,12,Pod,7,15,1
3,12,Pod,8,15,1
3,12,Pod,9,15,1
3,12,Pod,10,16,1
3,12,Pod,11,16,1
3,12,Pod,12,16,1
3,12,Pod,13,16,1
3,12,Pod,14,16,1
3,12,Pod,15,16,1
3,12,Pod,16,16,1
3,12,Pod,17,16,1
3,12,Pod,18,23,0
3,12,Pod,19,23,0
3,12,Pod,20,23,0
3,13,Pod,1,13,1
3,13,Pod,2,14,1
3,13,Pod,3,15,1
3,13,Pod,4,15,1
3,13,Pod,5,15,1
3,13,Pod,6,15,1
3,13,Pod,7,15,1
3,13,Pod,8,15,1
3,13,Pod,9,15,1
3,13,Pod,10,15,1
3,13,Pod,11,17,1
3,13,Pod,12,23,0
3,13,Pod,13,23,0
3,13,Pod,14,23,0
3,13,Pod,15,23,0
3,13,Pod,16,23,0
3,13,Pod,17,23,0
3,13,Pod,18,23,0
3,13,Pod,19,23,0
3,13,Pod,20,23,0
3,14,Pod,1,13,1
3,14,Pod,2,13,1
3,14,Pod,3,14,1
3,14,Pod,4,15,1
3,14,Pod,5,15,1
3,14,Pod,6,15,1
3,14,Pod,7,15,1
3,14,Pod,8,15,1
3,14,Pod,9,15,1
3,14,Pod,10,15,1
3,14,Pod,11,15,1
3,14,Pod,12,15,1
3,14,Pod,13,15,1
3,14,Pod,14,16,1
3,14,Pod,15,16,1
3,14,Pod,16,17,1
3,14,Pod,17,23,0
3,14,Pod,18,23,0
3,14,Pod,19,23,0
3,14,Pod,20,23,0
3,15,Pod,1,13,1
3,15,Pod,2,14,1
3,15,Pod,3,15,1
3,15,Pod,4,15,1
3,15,Pod,5,15,1
3,15,Pod,6,15,1
3,15,Pod,7,15,1
3,15,Pod,8,15,1
3,15,Pod,9,15,1
3,15,Pod,10,15,1
3,15,Pod,11,15,1
3,15,Pod,12,15,1
3,15,Pod,13,15,1
3,15,Pod,14,15,1
3,15,Pod,15,15,1
3,15,Pod,16,16,1
3,15,Pod,17,16,1
3,15,Pod,18,16,1
3,15,Pod,19,23,0
3,15,Pod,20,23,0
3,11,c,1,13,1
3,11,c,2,13,1
3,11,c,3,13,1
3,11,c,4,13,1
3,11,c,5,13,1
3,11,c,6,14,1
3,11,c,7,14,1
3,11,c,8,14,1
3,11,c,9,14,1
3,11,c,10,15,1
3,11,c,11,15,1
3,11,c,12,23,0
3,11,c,13,23,0
3,11,c,14,23,0
3,11,c,15,23,0
3,11,c,16,23,0
3,11,c,17,23,0
3,11,c,18,23,0
3,11,c,19,23,0
3,11,c,20,23,0
3,12,c,1,13,1
3,12,c,2,13,1
3,12,c,3,13,1
3,12,c,4,13,1
3,12,c,5,13,1
3,12,c,6,13,1
3,12,c,7,13,1
3,12,c,8,14,1
3,12,c,9,14,1
3,12,c,10,14,1
3,12,c,11,14,1
3,12,c,12,14,1
3,12,c,13,14,1
3,12,c,14,14,1
3,12,c,15,14,1
3,12,c,16,23,0
3,12,c,17,23,0
3,12,c,18,23,0
3,12,c,19,23,0
3,12,c,20,23,0
3,13,c,1,13,1
3,13,c,2,13,1
3,13,c,3,14,1
3,13,c,4,15,1
3,13,c,5,16,1
3,13,c,6,16,1
3,13,c,7,17,1
3,13,c,8,23,0
3,13,c,9,23,0
3,13,c,10,23,0
3,13,c,11,23,0
3,13,c,12,23,0
